Sample_Name,BioSample,BioProject,Other_Name,Other_ID,Dataset,City/Location,Country,Continent,Location_Descriptor,Material,Latitude,Longitude,Lat-Long,Depth [IN M],Date_Collected,cb-broad-desc,cb-narrow-desc,cb-material-type,sra:env_broad_scale,sra:env_local_scale,sra:env_medium
SRR28910760,PRJNA732392,SAMN41165317,haib17DB4959_H3MGVCCXY_SL259912,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28910882,PRJNA732392,SAMN41164884,haib17DB4959_H3MGVCCXY_SL259913,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28911374,PRJNA732392,SAMN41165000,haib17DB4959_H3MGVCCXY_SL259914,,metasub,,USA,North America,,,,,40.756007 N 73.985906 W,,6/21/17,built environment,subway,surface,,,
SRR28911030,PRJNA732392,SAMN41165183,haib17DB4959_H3MGVCCXY_SL259915,,metasub,,USA,North America,,,,,40.748864 N 73.871342 W,,6/21/17,built environment,subway,surface,,,
SRR28911183,PRJNA732392,SAMN41164591,haib17DB4959_H3MGVCCXY_SL259916,,metasub,,USA,North America,,,,,40.742733 N 73.953652 W,,6/21/17,built environment,subway,surface,,,
SRR28911493,PRJNA732392,SAMN41165298,haib17DB4959_H3MGVCCXY_SL259917,,metasub,,USA,North America,,,,,40.756644 N 73.838546 W,,6/21/17,built environment,subway,surface,,,
SRR28911355,PRJNA732392,SAMN41165082,haib17DB4959_H3MGVCCXY_SL259918,,metasub,,USA,North America,,,,,40.678099 N 73.910651 W,,6/21/17,built environment,subway,surface,,,
SRR28911053,PRJNA732392,SAMN41165097,haib17DB4959_H3MGVCCXY_SL259919,,metasub,,USA,North America,,,,,40.678165 N 73.91078 W,,6/21/17,built environment,subway,surface,,,
SRR28910955,PRJNA732392,SAMN41164623,haib17DB4959_H3MGVCCXY_SL259922,,metasub,,Colombia,South America,,,,,4.64977048 N 74.05672378 W,,6/23/17,built environment,subway,surface,,,
SRR28911411,PRJNA732392,SAMN41164902,haib17DB4959_H3MGVCCXY_SL259923,,metasub,,Brazil,South America,,,,,23.563373 S 46.636725 W,,6/23/17,built environment,subway,surface,,,
SRR28910837,PRJNA732392,SAMN41165054,haib17DB4959_H3MGVCCXY_SL259924,,metasub,,Japan,Asia,,,,,33.609935 N 130.419812 E,,6/21/17,built environment,subway,surface,,,
SRR28911331,PRJNA732392,SAMN41165168,haib17DB4959_H3MGVCCXY_SL259925,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28910952,PRJNA732392,SAMN41164626,haib17DB4959_H3MGVCCXY_SL259926,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28911557,PRJNA732392,SAMN41165110,haib17DB4959_H3MGVCCXY_SL259927,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
SRR28910921,PRJNA732392,SAMN41164718,haib17DB4959_H3MGVCCXY_SL259928,,metasub,,uncalculated,uncalculated,,,,,missing,,missing,built environment,subway,surface,,,
